Match Number,Team Number,Auto Switch,Auto Scale,Tele Switch,Tele Scale,Vault,Climb
32,1629,1,1,0,5,0,1
32,5546,0,0,4,2,0,0
32,888,1,0,1,0,7,1
32,401,0,1,0,6,0,0
33,1610,1,0,2,2,0,0
33,2363,0,2,1,3,0,1
33,2377,1,0,4,0,4,0
33,6882,0,0,0,0,0,1
33,3793,0,0,1,4,2,0
33,614,0,1,7,0,2,0
34,5804,0,0,0,5,0,0
34,116,0,0,2,3,0,0
34,5957,0,0,2,0,9,0
34,5945,0,0,1,0,0,0
34,346,1,0,0,4,0,1
34,384,0,1,0,3,6,1
35,620,0,0,1,2,0,1
35,5950,0,0,5,0,0,0
35,1731,0,2,2,1,6,0
35,122,0,0,1,2,0,0
35,2199,1,0,0,3,0,0
35,5279,0,0,1,0,4,1
36,4541,1,0,3,4,0,0
36,977,1,0,2,0,5,1
36,836,0,1,0,3,0,0
36,623,0,0,1,0,4,0
36,1885,0,1,3,2,0,0
36,1599,1,0,1,4,0,0
37,6334,1,0,6,0,0,0
37,4242,1,0,0,0,10,0
37,611,0,0,0,6,2,0
37,1522,0,0,1,2,1,0
37,6194,0,0,1,0,6,0
37,4472,0,0,0,3,0,0
38,5115,0,0,0,3,0,0
38,1418,0,0,2,2,0,1
38,1111,0,0,0,1,4,0
38,2534,1,0,0,6,0,0
38,5724,0,0,0,1,0,1
38,2914,0,0,0,0,4,0
39,2028,0,0,2,0,8,0
39,3136,0,0,1,0,0,0
39,612,0,0,0,5,0,0
39,1086,1,0,2,2,1,0
39,1727,0,0,2,0,4,0
39,5338,0,0,1,3,1,0
40,540,1,0,3,0,5,1
40,4456,0,0,0,3,0,0
40,6504,0,0,0,0,5,0
40,5587,1,0,0,1,0,0
40,6326,0,0,2,0,4,0
40,3274,0,0,1,4,1,0
41,2199,0,0,1,3,0,0
41,6802,1,0,2,2,0,0
41,888,0,0,4,0,5,1
41,346,0,0,5,2,0,1
41,6882,0,0,0,0,3,0
41,122,0,0,2,3,0,0
42,611,0,1,3,0,0,0
42,422,1,0,0,4,0,0
42,1731,0,1,2,1,7,1
42,1885,0,0,3,2,0,0
42,339,1,0,4,0,6,1
42,836,0,1,0,4,0,0
43,4472,0,0,4,4,0,0
43,2914,0,0,0,0,4,0
43,2537,0,1,0,3,0,1
43,5279,0,0,1,0,1,1
43,116,0,0,0,3,0,0
43,4541,0,0,1,4,1,0
44,2106,0,0,0,4,0,0
44,5724,1,0,0,3,0,0
44,4242,1,0,3,0,5,0
44,2534,1,0,0,5,0,0
44,5338,0,0,0,1,8,0
44,614,1,0,5,0,0,0
45,1262,0,0,0,3,0,1
45,5546,1,0,0,3,0,1
45,3793,0,0,1,1,9,0
45,540,1,0,0,0,5,0
45,3274,0,1,0,5,0,0
45,3136,0,0,0,1,0,1
46,6504,0,0,0,0,5,0
46,2363,1,0,1,2,5,0
46,623,0,0,4,4,0,1
46,620,0,0,3,1,0,1
46,5957,0,0,0,3,0,0
46,2028,0,0,0,0,7,0
47,1629,1,0,1,4,0,0
47,1522,0,0,2,0,6,0
47,977,0,0,0,4,0,1
47,1418,0,0,0,5,0,1
47,612,1,0,0,2,0,0
47,5243,1,0,1,0,7,0
48,2377,0,0,3,2,0,1
48,5945,0,0,0,0,6,1
48,1111,0,0,0,2,0,0
48,1599,0,0,0,3,4,1
48,6334,1,0,9,0,3,0
48,5587,1,0,0,2,2,0
49,6194,0,0,4,0,5,0
49,1086,0,0,0,7,0,0
49,5950,1,0,5,0,0,0
49,4456,0,0,4,0,0,0
49,1610,0,0,0,3,0,0
49,5804,1,0,2,2,2,0
50,2890,0,0,4,0,0,0
50,6326,1,0,0,0,7,0
50,1727,0,0,1,0,0,0
50,384,1,0,4,2,0,1
50,401,1,0,1,0,7,0
50,5115,0,1,3,1,0,0
51,614,0,0,1,0,0,0
51,1731,0,0,0,1,0,0
51,623,0,0,0,0,0,1
51,4472,1,0,0,0,0,0
51,5338,0,0,0,1,0,0
51,888,0,0,0,0,1,0
52,5724,0,0,0,4,0,0
52,116,0,0,3,0,8,0
52,6802,1,0,0,3,0,0
52,2363,0,1,1,3,0,0
52,611,1,0,0,2,8,0
52,1629,2,0,3,3,0,0
53,122,1,0,0,4,5,0
53,1418,0,1,0,3,0,0
53,620,1,0,1,2,0,0
53,3274,0,0,0,4,0,0
53,836,0,2,1,3,0,1
53,2028,1,0,0,0,5,0
54,1885,0,0,2,3,0,1
54,5243,0,0,3,0,8,0
54,1610,0,0,1,2,0,0
54,2537,0,1,3,3,0,0
54,4242,0,0,0,0,1,0
54,5957,0,0,1,1,9,0
55,4456,0,0,1,3,0,0
55,5115,1,0,3,1,0,0
55,5279,0,0,0,0,3,1
55,977,0,0,2,1,4,1
55,1262,0,0,1,1,0,0
55,2377,1,0,6,1,0,0
56,6504,0,0,0,0,7,0
56,2890,1,0,2,0,0,1
56,6334,1,0,6,0,0,1
56,422,0,1,4,2,0,0
56,1599,1,0,3,0,0,1
56,3793,0,0,4,0,8,0
57,5804,0,0,2,2,1,0
57,339,0,0,3,0,4,1
57,2106,0,0,2,2,0,1
57,2914,0,0,2,0,0,0
57,1727,0,0,2,0,3,0
57,6882,0,0,0,0,0,0
58,1522,0,0,1,0,3,0
58,2534,1,0,1,3,0,1
58,5950,0,0,3,0,0,0
58,1086,1,0,1,3,0,0
58,540,0,1,1,3,1,0
58,346,0,1,3,3,0,0
